value_eur_mn,age,height_cm,weight_kg,club_country,club_playing_status,club_contract_valid_until_year,work_rate_attack_defense,body_type,position,overall,pace,shooting,passing,dribbling,defending,physic,skill_moves
38.5,27,187,82,Spain,starting_xi,2026,Low/Medium,Lean,Defender,83,67,32,68,71,85,76,2
36.5,28,185,79,Spain,substitute,2025,Medium/High,Normal,Defender,83,71,46,58,61,85,82,2
38.5,27,190,77,Italy,starting_xi,2027,Medium/High,Normal,Defender,83,67,45,54,62,83,86,2
38,26,180,72,Germany,starting_xi,2027,Medium/High,Lean,Midfield,83,80,69,77,78,81,79,3
35,28,185,80,Spain,starting_xi,2024,Medium/High,Lean,Midfield,83,51,58,72,70,85,80,2
36.5,27,186,81,Italy,substitute,2028,Medium/Medium,Normal,Defender,83,70,62,73,72,85,78,3
37,27,184,78,Italy,starting_xi,2025,High/Medium,Normal,Midfield,83,78,68,72,81,81,86,3
42,27,186,77,Italy,starting_xi,2026,High/High,Lean,Midfield,83,79,76,83,83,74,78,3
37,27,190,85,England,starting_xi,2027,Medium/High,Normal,Midfield,83,62,67,71,76,84,89,2
43,26,181,79,Spain,starting_xi,2028,High/Medium,Lean,Midfield,83,77,83,80,83,41,62,3
42.5,27,191,86,Germany,substitute,2027,Medium/Medium,Normal,Forward,83,79,80,71,81,37,76,4
6.5,37,184,82,Spain,starting_xi,2024,High/Medium,Unique,Defender,83,57,69,73,70,83,76,3
12,34,191,94,Germany,starting_xi,2024,Medium/Medium,Stocky,Defender,83,53,58,76,70,86,78,2
15.5,35,180,69,Portugal,starting_xi,2024,High/Medium,Unique,Forward,83,78,78,86,89,48,67,5
17,34,180,71,Germany,substitute,2024,Medium/Medium,Unique,Midfield,83,65,83,83,85,53,63,4
13.5,34,170,68,USA,starting_xi,2024,High/Medium,Unique,Defender,83,84,70,82,81,76,70,3
12.5,34,189,76,USA,starting_xi,2025,Medium/Medium,Lean,Midfield,83,37,62,79,79,81,73,3
30,31,181,76,England,starting_xi,2025,Medium/Medium,Unique,Midfield,83,59,77,89,81,51,53,4
29.5,32,175,73,France,starting_xi,2025,High/High,Unique,Forward,83,72,84,77,83,44,77,4
29.5,32,170,68,France,starting_xi,2024,High/Low,Unique,Forward,83,80,84,78,87,39,68,4
9.5,35,192,88,Italy,bench,2025,Medium/High,Normal,Defender,83,60,50,64,64,86,80,3
17.5,33,180,76,Spain,substitute,2024,Low/High,Normal,Defender,83,75,37,69,71,82,80,2
35.5,30,190,84,Spain,starting_xi,2026,Medium/Medium,Unique,Forward,83,82,82,72,79,31,79,3
35.5,29,180,71,Spain,starting_xi,2028,Medium/Medium,Lean,Midfield,83,81,76,82,83,74,77,3
36.5,28,170,69,England,starting_xi,2027,High/Medium,Unique,Forward,83,85,78,76,85,45,67,4
30,30,186,87,Germany,starting_xi,2025,Low/Medium,Normal,Defender,83,58,36,56,56,85,81,2
25.5,31,178,68,England,substitute,2024,Medium/Medium,Lean,Midfield,83,53,67,84,81,74,73,3
36.5,29,191,90,Germany,starting_xi,2026,Medium/Medium,Normal,Forward,83,62,81,63,76,52,81,3
35,27,181,75,England,bench,2027,Medium/Medium,Stocky,Defender,83,76,57,82,79,81,78,3
30.5,31,180,77,Spain,starting_xi,2027,High/Medium,Normal,Forward,83,77,85,77,81,46,72,3
31,29,186,86,Germany,starting_xi,2026,Medium/High,Stocky,Midfield,83,79,78,77,79,82,87,3
35,30,184,84,Italy,starting_xi,2026,High/High,Normal,Midfield,83,85,76,82,82,70,80,3
35,30,176,72,Germany,starting_xi,2027,High/Medium,Normal,Midfield,83,76,79,83,81,64,73,3
35.5,29,180,75,Italy,starting_xi,2026,Medium/Medium,Normal,Midfield,83,81,77,81,86,71,63,4
31.5,28,185,75,Italy,starting_xi,2027,Medium/Medium,Unique,Defender,83,69,40,56,69,85,80,2
30.5,30,181,72,Saudi Arabia,starting_xi,2026,Medium/Medium,Lean,Midfield,83,66,74,81,80,80,78,3
35.5,30,172,66,Portugal,starting_xi,2024,High/Medium,Lean,Forward,83,93,77,77,86,50,54,4
35.5,29,173,75,Spain,starting_xi,2026,High/Medium,Stocky,Midfield,83,82,81,81,86,39,80,4
38.5,27,182,76,France,substitute,2026,High/Medium,Normal,Forward,83,81,81,81,83,43,63,4
35.5,30,187,86,Spain,starting_xi,2026,High/Medium,Lean,Forward,83,69,84,66,76,40,82,3
30,31,177,75,Italy,starting_xi,2026,Medium/Low,Normal,Midfield,83,88,77,83,84,35,72,4
56.5,20,182,68,Spain,starting_xi,2027,High/High,Lean,Midfield,82,79,66,80,82,76,80,4
48,23,184,77,Spain,substitute,2027,High/Medium,Lean,Forward,82,83,79,78,83,35,68,4
44.5,21,185,80,England,substitute,2028,High/High,Normal,Defender,82,78,54,69,74,82,83,3
48.5,24,187,80,England,substitute,2028,High/High,Normal,Forward,82,90,81,71,76,43,85,3
40,26,187,81,Spain,starting_xi,2026,Medium/Medium,Lean,Defender,82,62,26,54,59,84,79,2
46,24,190,82,England,starting_xi,2028,Medium/Medium,Unique,Midfield,82,78,79,79,83,45,68,4
43.5,21,176,70,France,substitute,2026,High/Medium,Normal,Defender,82,89,58,75,80,77,76,3
38.5,25,185,75,Italy,starting_xi,2026,Medium/High,Lean,Midfield,82,67,70,80,78,79,80,3
39.5,24,186,90,Germany,substitute,2026,Medium/Medium,Stocky,Defender,82,83,45,63,72,81,83,3
38,25,185,79,England,starting_xi,2027,Medium/High,Normal,Defender,82,70,46,59,66,84,80,3
43.5,23,180,76,England,substitute,2026,Medium/Medium,Unique,Forward,82,78,70,80,87,33,47,5
39.5,25,175,70,Spain,starting_xi,2027,High/High,Lean,Defender,82,85,67,76,79,78,71,3
44.5,22,186,74,England,starting_xi,2028,Medium/Medium,Normal,Midfield,82,83,82,84,82,34,64,4
44,22,175,68,Portugal,starting_xi,2028,Medium/Medium,Normal,Midfield,82,72,76,83,80,69,79,3
44,23,177,79,Germany,starting_xi,2028,High/Medium,Normal,Forward,82,93,79,68,80,31,78,3
37,25,175,75,Italy,starting_xi,2026,High/Medium,Normal,Defender,82,79,71,80,79,74,71,3
39.5,26,187,73,England,substitute,2026,Medium/High,Lean,Midfield,82,70,67,81,83,79,77,4
37,25,183,65,Germany,starting_xi,2026,High/Low,Lean,Defender,82,79,66,77,83,77,74,3
40.5,25,173,77,Portugal,starting_xi,2027,High/Medium,Normal,Forward,82,76,82,81,84,58,66,4
40.5,25,178,72,Spain,starting_xi,2027,High/Medium,Lean,Midfield,82,85,78,79,81,46,61,4
40.5,26,180,75,Italy,substitute,2026,High/Medium,Lean,Forward,82,82,81,62,81,27,77,3
37.5,26,176,72,England,substitute,2027,Medium/Medium,Normal,Midfield,82,50,79,85,79,69,69,4
38,26,187,78,Spain,starting_xi,2025,High/Medium,Lean,Forward,82,72,84,70,82,40,80,3
32.5,27,189,80,France,substitute,2024,Medium/High,Normal,Defender,82,79,43,68,69,81,86,2
34,26,183,74,Saudi Arabia,starting_xi,2026,High/High,Normal,Midfield,82,79,76,74,79,81,87,3
39.5,24,178,77,Germany,starting_xi,2026,High/Medium,Unique,Midfield,82,89,80,73,85,35,73,4
39.5,24,176,72,England,starting_xi,2028,Medium/Medium,Normal,Midfield,82,70,79,82,82,70,72,3
35.5,27,180,76,Germany,starting_xi,2026,High/Medium,Unique,Forward,82,91,80,70,82,35,69,3
35,27,171,66,Spain,substitute,2027,High/High,Lean,Midfield,82,82,78,83,86,67,65,4
35.5,26,186,81,England,starting_xi,2024,High/High,Stocky,Midfield,82,78,71,76,82,81,88,3
28,29,185,72,Spain,starting_xi,2026,Medium/Medium,Lean,Defender,82,59,37,66,65,83,77,2
30.5,27,187,91,England,substitute,2027,Medium/Medium,Unique,Defender,82,77,48,70,72,83,78,2
29,28,184,76,Spain,starting_xi,2024,Medium/High,Normal,Defender,82,75,49,74,71,82,79,2
36.5,26,188,78,Spain,starting_xi,2025,High/High,Lean,Forward,82,81,82,63,76,36,79,3
19.5,33,192,80,Spain,starting_xi,2024,High/Medium,Lean,Forward,82,63,84,69,74,33,77,3
10.5,36,193,91,Italy,starting_xi,2024,Medium/Medium,Normal,Forward,82,43,83,74,74,42,80,3
8.5,35,183,76,Spain,substitute,2024,Medium/Medium,Lean,Midfield,82,63,62,74,73,82,81,3
25,31,176,72,Germany,starting_xi,2025,Medium/Medium,Normal,Midfield,82,63,75,83,85,55,71,4
8,35,183,78,Portugal,starting_xi,2025,Medium/High,Normal,Defender,82,64,57,64,59,83,85,2
25.5,31,180,66,England,substitute,2024,High/Medium,Normal,Forward,82,80,82,67,79,42,76,3
21,31,189,78,Italy,starting_xi,2025,Medium/High,Unique,Defender,82,64,41,64,69,84,76,2
29,30,185,82,Germany,starting_xi,2028,Medium/Medium,Normal,Midfield,82,49,74,82,73,75,82,3
25.5,31,181,76,Saudi Arabia,starting_xi,2026,High/High,Unique,Forward,82,70,77,79,87,58,77,5
20,32,182,76,Spain,substitute,2025,Medium/Medium,Normal,Defender,82,71,56,67,61,82,80,2
20,32,187,80,Spain,starting_xi,2024,Medium/High,Lean,Defender,82,64,35,57,57,85,80,2
22,31,173,73,Spain,starting_xi,2025,Medium/Medium,Unique,Defender,82,82,54,76,79,77,79,3
29.5,29,177,80,England,starting_xi,2027,High/High,Normal,Midfield,82,69,69,82,87,71,70,4
27,29,170,69,Germany,substitute,2026,High/Low,Normal,Defender,82,65,78,85,88,76,55,4
21,31,188,84,England,starting_xi,2024,High/High,Normal,Defender,82,54,68,75,73,84,77,2
30.5,28,171,67,Saudi Arabia,starting_xi,2026,High/High,Normal,Midfield,82,78,70,81,85,66,74,4
27.5,28,172,66,Spain,starting_xi,2027,High/Medium,Lean,Defender,82,81,61,77,79,78,74,4
29.5,30,180,76,Germany,starting_xi,2027,Medium/Medium,Normal,Midfield,82,71,80,83,81,40,64,4
27,28,186,86,Germany,substitute,2026,High/High,Normal,Midfield,82,57,76,76,73,81,85,3
29.5,30,179,73,Portugal,starting_xi,2026,Medium/Medium,Normal,Midfield,82,70,79,81,83,69,70,3
30.5,28,173,63,Portugal,starting_xi,2026,High/High,Lean,Midfield,82,80,83,80,80,43,70,3
31,28,171,70,Spain,substitute,2026,High/Medium,Normal,Forward,82,85,84,77,86,50,75,4
30.5,28,185,74,Saudi Arabia,starting_xi,2026,High/High,Normal,Midfield,82,71,77,76,80,73,86,4
30.5,28,177,63,Italy,starting_xi,2025,High/Medium,Normal,Forward,82,87,77,74,88,57,67,4
27.5,28,180,73,Spain,substitute,2025,High/High,Unique,Defender,82,92,64,76,77,77,86,4
21,31,185,80,Italy,starting_xi,2026,Medium/Medium,Normal,Defender,82,78,43,56,64,84,79,2
27.5,28,172,70,Spain,starting_xi,2026,High/Medium,Normal,Defender,82,81,56,77,83,79,72,4
30.5,28,169,71,Spain,starting_xi,2028,High/Medium,Normal,Midfield,82,84,79,79,82,39,64,3
30,30,185,83,Portugal,starting_xi,2024,Medium/Medium,Normal,Forward,82,78,81,76,81,38,74,4
53,19,175,69,Spain,starting_xi,2024,High/Medium,Lean,Defender,81,91,48,73,78,75,64,3
37,24,194,95,England,starting_xi,2026,Medium/High,Stocky,Defender,81,77,34,57,68,82,82,3
41,23,181,72,Spain,substitute,2024,Medium/Medium,Unique,Forward,81,81,79,78,85,40,67,5
40.5,23,188,72,Spain,substitute,2032,High/Medium,Lean,Midfield,81,73,77,77,82,61,73,4
40.5,23,172,63,England,starting_xi,2027,High/High,Normal,Forward,81,83,76,74,87,46,73,5
39.5,23,192,77,England,starting_xi,2028,High/Medium,Lean,Forward,81,83,81,72,84,39,72,4
39,24,172,70,Italy,substitute,2028,High/Low,Normal,Forward,81,89,75,74,84,36,63,4
36.5,22,182,77,France,starting_xi,2028,High/High,Normal,Midfield,81,72,64,73,77,77,80,3
33,24,194,84,Germany,starting_xi,2026,Medium/Medium,Normal,Defender,81,75,54,65,70,82,79,2
37,23,186,75,England,starting_xi,2028,High/Medium,Lean,Forward,81,76,77,80,84,56,75,4
31,26,177,70,Italy,starting_xi,2025,High/High,Normal,Defender,81,79,57,71,77,79,73,3
31,26,180,77,England,starting_xi,2027,High/Medium,Normal,Defender,81,74,60,78,78,77,73,3
35,24,181,74,England,bench,2028,High/High,Lean,Midfield,81,72,79,82,80,56,67,3
31,25,174,78,Germany,starting_xi,2026,Medium/High,Stocky,Midfield,81,74,70,74,78,75,80,3
34,25,180,72,England,starting_xi,2027,High/High,Normal,Midfield,81,72,77,79,84,69,76,5
31,25,191,77,England,substitute,2028,Medium/High,Normal,Midfield,81,66,66,74,75,81,86,3
31,25,187,73,England,starting_xi,2025,Low/High,Normal,Midfield,81,68,58,68,70,82,87,2
34,25,180,72,Italy,starting_xi,2026,High/Medium,Lean,Forward,81,87,76,73,83,45,64,4
32.5,23,173,69,England,starting_xi,2028,High/Medium,Normal,Defender,81,82,73,77,81,74,77,3
35.5,23,175,70,France,starting_xi,2025,High/High,Normal,Forward,81,82,81,71,78,34,75,3
33,25,174,71,Italy,starting_xi,2026,Medium/Medium,Lean,Forward,81,86,81,69,85,30,67,4
33,25,194,88,England,starting_xi,2027,High/Medium,Lean,Forward,81,86,79,59,75,25,84,3
25,28,186,80,Italy,starting_xi,2027,Medium/High,Normal,Midfield,81,53,73,78,75,78,82,3
24.5,28,180,75,England,starting_xi,2027,Medium/High,Normal,Defender,81,75,53,72,74,82,77,2
26,27,195,94,Germany,starting_xi,2025,Low/Medium,Stocky,Defender,81,67,37,59,61,81,85,2
30.5,26,173,67,Saudi Arabia,starting_xi,2028,High/Low,Stocky,Midfield,81,89,73,73,88,29,68,5
30.5,26,172,74,Saudi Arabia,starting_xi,2027,High/Medium,Stocky,Midfield,81,83,79,78,84,28,66,4
25,28,185,74,Germany,starting_xi,2027,High/High,Lean,Midfield,81,63,73,74,76,80,76,3
29.5,27,177,68,England,substitute,2025,High/Medium,Normal,Midfield,81,70,75,83,84,68,73,4
24.5,28,182,79,Spain,substitute,2026,Medium/Medium,Normal,Defender,81,64,49,68,65,83,76,2
